Source,Target,Specialisation,Surname
Dr Dominic Bryan,School of History and Anthropology,"Anthropology,Irish Studies / Irish History",Bryan
Dr Bal Sokhi-Bulley,School of Law,"Human Rights, Critical Theory, European Law",Bulley
Dr Dan Bulley,"School of Politics, International Studies and Philosophy",,Bulley
Dr Lisa Bunting,"School of Sociology, Social Policy and Social Work",Social Work,Bunting
Prof Mark Burnett,School of English,Renaissance Literature,Burnett
Dr Michelle Butler,"School of Sociology, Social Policy and Social Work",Criminology,Butler
Dr Bronagh Byrne,"School of Sociology, Social Policy and Social Work",Social Policy,Byrne
Dr Emma Calvert,"School of Sociology, Social Policy and Social Work",Sociology,Calvert
Prof. Brian Campbell,School of History and Anthropology,Ancient History,Campbell
Dr Ian Campbell,School of History and Anthropology,"Early-Modern History,Irish Studies / Irish History,Religious History",Campbell
Prof Bruce Campbell,"School of Geography, Archaeology and Paleoecology","Space, Society and Culture",Campbell
Dr Anne Campbell,"School of Sociology, Social Policy and Social Work",Social Work,Campbell
Dr Ian Cantley,School of Education,,Cantley
Dr David Capper,School of Law,"Contracts, Insolvency, Commercial Law",Capper
Prof Brian Caraher,School of English,Modern Literature and Theory,Caraher
Dr Gemma Carney,"School of Sociology, Social Policy and Social Work",Social Policy,Carney
Mr Garrett Carr,School of English,Creative Writing,Carr
Dr Nicola Carr,"School of Sociology, Social Policy and Social Work",Criminology,Carr
Prof Janice Carruthers,School of Modern Languages,French Studies / Head of School,Carruthers
Prof Ciaran Carson,School of English,,Carson
Dr Maria Cesario,School of English,Medieval Literature and Historical Linguistics,Cesario
Dr Evropi Chatzipanagiotidou,School of History and Anthropology,Anthropology,Chatzipanagiotidou
Dr Rossella Ciccia,"School of Sociology, Social Policy and Social Work",Social Policy,Ciccia
Dr Fiona Clark,School of Modern Languages,Spanish & Portuguese Studies (Director of Education),Clark
Dr Roger Clarke,"School of Politics, International Studies and Philosophy",,Clarke
Prof Catherine Clinton ,School of History and Anthropology,"American History,Gender History",Clinton
Dr Lucy Cogan,School of English,Eighteenth Century and Romantic Literature,Cogan
Dr Marcas Mac Coinnigh,School of Modern Languages,Irish (Environmental Officer),Coinnigh
Dr Marie Coleman,School of History and Anthropology,"Gender History,Irish Studies / Irish History",Coleman
Ian Collen,School of Education,,Collen
Dr Keiran Connell,School of History and Anthropology,"British History,Cultural History,Social and Economic History",Connell
Prof Sean Connolly,School of History and Anthropology,"Early-Modern History,Irish Studies / Irish ,Religious History",Connolly
Prof Paul Connolly,School of Education,,Connolly
Prof Peter Conrad,"School of Sociology, Social Policy and Social Work",Sociology,Conrad
Dr Heather Conway,School of Law,"Property, Land Law, Burial Laws",Conway
Dr Mike Corman ,"School of Sociology, Social Policy and Social Work",Sociology,Corman
Dr Mary-Louise Corr,"School of Sociology, Social Policy and Social Work",Criminology,Corr
Mr Chris Corrigan,Music and Sonic Arts,Audio Engineering,Corrigan
Dr Paul Corthorn ,School of History and Anthropology,British History,Corthorn
Dr Stephen Coulter,"School of Sociology, Social Policy and Social Work",Social Work,Coulter
Dr Pamela Cowan,School of Education,,Cowan
Prof Ellen Douglas-Cowie,School of English,,Cowie
Dr Dug Cubie,School of Law,"Human Rights, International Law, Humanitarianism",Cubie
